"Bairro";"Sexo";"Data.Nascimento";"Estado.Nasc";"Estado_civil";"Cidade";"Curso_UCSAL";"ESCOLA.DE.Origem";"Classe"
"CENTRO";"FEMININO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"LAURO DE FREITAS";"ADS";"NAO INFORMADO";"D"
"CENTRO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"D"
"CENTRO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"NAO INFORMADO";"D"
"CIA ";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"NAO INFORMADO";"CNI"
"CIA II";"MASCULINO";"Acima de 34 anos";"BA";"CASADO";"OUTRAS CIDADES";"ADS";"PRIVADA";"CNI"
"COSME DE FARIAS";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"COSME DE FARIAS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"COSTA AZUL";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"C"
"COUTOS";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"COUTOS";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"DOIS DE JULHO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"CNI"
"ENGENHO VELHO DA FEDERACAO";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"ENGENHO VELHO DA FEDERACAO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"ENGENHO VELHO DA FEDERACAO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"NAO INFORMADO";"E"
"ENGENHO VELHO DA FEDERACAO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"ENGENHO VELHO DE BROTAS";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"ENGENHO VELHO DE BROTAS";"MASCULINO";"Entre 25 a 29 anos";"RJ";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"ENGOMADEIRA";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"ENGOMADEIRA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"FAZENDA COUTOS";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"FAZENDA GRANDE II";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"FEDERACAO";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"FEDERACAO";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"FEDERACAO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"FEDERACAO";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"FEDERACAO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"FEDERACAO";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"FEDERACAO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"FEDERACAO";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"FEDERACAO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"FEDERACAO";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"GLEBA C";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"CNI"
"GLEBA C";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"CNI"
"GLEBA E";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"BES";"PUBLICA";"CNI"
"GLEBA E";"MASCULINO";"Entre 20 a 24 anos";"SP";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"CNI"
"GRACA";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"C"
"IAPI";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"IMBUI";"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"D"
"IMBUI";"FEMININO";"Acima de 34 anos";"DF";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"D"
"IMBUI";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"D"
"IMBUI";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"D"
"ITACARANHA";"FEMININO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"ITAIGARA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"C"
"ITAIGARA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"C"
"ITAIGARA";"FEMININO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"C"
"ITAPUA";"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"SALVADOR";"ADS";"PUBLICA";"E"
"ITAPUA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"E"
"ITAPUA";"MASCULINO";"Entre 30 a 34 anos";"PE";"CASADO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"ITAPUA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"ITAPUA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"ITAPUA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"ITAPUA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"ITAPUA";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"ITAPUA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"ITAPUA";"MASCULINO";"Entre 20 a 24 anos";"PE";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"ITAPUA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"NAO INFORMADO";"E"
"ITAPUA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"NAO INFORMADO";"E"
"ITAPUA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"E"
"ITAPUA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"ITAPUA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"ITINGA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"LAURO DE FREITAS";"SI";"PRIVADA";"E"
"ITINGA";"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"LAURO DE FREITAS";"ADS";"PRIVADA";"E"
"ITINGA";"MASCULINO";"Entre 20 a 24 anos";"SP";"SOLTEIRO";"LAURO DE FREITAS";"ADS";"PUBLICA";"E"
"ITINGA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"LAURO DE FREITAS";"BES";"PUBLICA";"E"
"JARDIM ARMACAO";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"C"
"JARDIM ARMACAO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PRIVADA";"C"
"JARDIM SANTO INACIO";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"JOCKEI CLUB";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"CNI"
